"CPP_API, URL, REGOP"
tensorflow::ops::BarrierIncompleteSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-incomplete-size.html,"./data_flow_ops.cc:REGISTER_OP(""BarrierIncompleteSize"")"
tensorflow::ops::BarrierInsertMany,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-insert-many.html,"./data_flow_ops.cc:REGISTER_OP(""BarrierInsertMany"")"
tensorflow::ops::BarrierReadySize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-ready-size.html,"./data_flow_ops.cc:REGISTER_OP(""BarrierReadySize"")"
tensorflow::ops::BarrierTakeMany,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-take-many.html,"./data_flow_ops.cc:REGISTER_OP(""BarrierTakeMany"")"
tensorflow::ops::ConditionalAccumulator,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/conditional-accumulator.html,"./data_flow_ops.cc:REGISTER_OP(""ConditionalAccumulator"")"
tensorflow::ops::DeleteSessionTensor,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/delete-session-tensor.html,"./data_flow_ops.cc:REGISTER_OP(""DeleteSessionTensor"")"
tensorflow::ops::DynamicPartition,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/dynamic-partition.html,"./data_flow_ops.cc:REGISTER_OP(""DynamicPartition"")"
tensorflow::ops::DynamicStitch,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/dynamic-stitch.html,"./data_flow_ops.cc:REGISTER_OP(""DynamicStitch"")"
tensorflow::ops::FIFOQueue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/f-i-f-o-queue.html,"./data_flow_ops.cc:REGISTER_OP(""FIFOQueue"")"
tensorflow::ops::GetSessionHandle,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/get-session-handle.html,"./data_flow_ops.cc:REGISTER_OP(""GetSessionHandle"")"
tensorflow::ops::GetSessionHandleV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/get-session-handle-v2.html,"./data_flow_ops.cc:REGISTER_OP(""GetSessionHandleV2"")"
tensorflow::ops::GetSessionTensor,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/get-session-tensor.html,"./data_flow_ops.cc:REGISTER_OP(""GetSessionTensor"")"
tensorflow::ops::MapClear,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-clear.html,"./data_flow_ops.cc:REGISTER_OP(""MapClear"")"
tensorflow::ops::MapIncompleteSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-incomplete-size.html,"./data_flow_ops.cc:REGISTER_OP(""MapIncompleteSize"")"
tensorflow::ops::MapPeek,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-peek.html,"./data_flow_ops.cc:REGISTER_OP(""MapPeek"")"
tensorflow::ops::MapSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-size.html,"./data_flow_ops.cc:REGISTER_OP(""MapSize"")"
tensorflow::ops::MapStage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-stage.html,"./data_flow_ops.cc:REGISTER_OP(""MapStage"")"
tensorflow::ops::MapUnstage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-unstage.html,"./data_flow_ops.cc:REGISTER_OP(""MapUnstage"")"
tensorflow::ops::MapUnstageNoKey,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-unstage-no-key.html,"./data_flow_ops.cc:REGISTER_OP(""MapUnstageNoKey"")"
tensorflow::ops::OrderedMapClear,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-clear.html,"./data_flow_ops.cc:REGISTER_OP(""OrderedMapClear"")"
tensorflow::ops::OrderedMapIncompleteSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-incomplete-size.html,"./data_flow_ops.cc:REGISTER_OP(""OrderedMapIncompleteSize"")"
tensorflow::ops::OrderedMapPeek,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-peek.html,"./data_flow_ops.cc:REGISTER_OP(""OrderedMapPeek"")"
tensorflow::ops::OrderedMapSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-size.html,"./data_flow_ops.cc:REGISTER_OP(""OrderedMapSize"")"
tensorflow::ops::OrderedMapStage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-stage.html,"./data_flow_ops.cc:REGISTER_OP(""OrderedMapStage"")"
tensorflow::ops::OrderedMapUnstage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-unstage.html,"./data_flow_ops.cc:REGISTER_OP(""OrderedMapUnstage"")"
tensorflow::ops::OrderedMapUnstageNoKey,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-unstage-no-key.html,"./data_flow_ops.cc:REGISTER_OP(""OrderedMapUnstageNoKey"")"
tensorflow::ops::PaddingFIFOQueue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/padding-f-i-f-o-queue.html,"./data_flow_ops.cc:REGISTER_OP(""PaddingFIFOQueue"")"
tensorflow::ops::ParallelDynamicStitch,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/parallel-dynamic-stitch.html,"./data_flow_ops.cc:REGISTER_OP(""ParallelDynamicStitch"")"
tensorflow::ops::PriorityQueue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/priority-queue.html,"./data_flow_ops.cc:REGISTER_OP(""PriorityQueue"")"
tensorflow::ops::QueueClose,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-close.html,"./data_flow_ops.cc:REGISTER_OP(""QueueClose"")"
tensorflow::ops::QueueDequeue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-dequeue.html,"./data_flow_ops.cc:REGISTER_OP(""QueueDequeue"")"
tensorflow::ops::QueueDequeueMany,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-dequeue-many.html,"./data_flow_ops.cc:REGISTER_OP(""QueueDequeueMany"")"
tensorflow::ops::QueueDequeueUpTo,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-dequeue-up-to.html,"./data_flow_ops.cc:REGISTER_OP(""QueueDequeueUpTo"")"
tensorflow::ops::QueueEnqueue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-enqueue.html,"./data_flow_ops.cc:REGISTER_OP(""QueueEnqueue"")"
tensorflow::ops::QueueEnqueueMany,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-enqueue-many.html,"./data_flow_ops.cc:REGISTER_OP(""QueueEnqueueMany"")"
tensorflow::ops::QueueIsClosed,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-is-closed.html,"./data_flow_ops.cc:REGISTER_OP(""QueueIsClosed"")"
tensorflow::ops::QueueIsClosedV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-is-closed-v2.html,"./data_flow_ops.cc:REGISTER_OP(""QueueIsClosedV2"")"
tensorflow::ops::QueueSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-size.html,"./data_flow_ops.cc:REGISTER_OP(""QueueSize"")"
tensorflow::ops::RandomShuffleQueue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/random-shuffle-queue.html,"./data_flow_ops.cc:REGISTER_OP(""RandomShuffleQueue"")"
tensorflow::ops::RecordInput,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/record-input.html,"./data_flow_ops.cc:REGISTER_OP(""RecordInput"")"
tensorflow::ops::SparseAccumulatorApplyGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/sparse-accumulator-apply-gradient.html,"./data_flow_ops.cc:REGISTER_OP(""SparseAccumulatorApplyGradient"")"
tensorflow::ops::SparseAccumulatorTakeGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/sparse-accumulator-take-gradient.html,"./data_flow_ops.cc:REGISTER_OP(""SparseAccumulatorTakeGradient"")"
tensorflow::ops::SparseConditionalAccumulator,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/sparse-conditional-accumulator.html,"./data_flow_ops.cc:REGISTER_OP(""SparseConditionalAccumulator"")"
tensorflow::ops::Stage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/stage.html,"./data_flow_ops.cc:REGISTER_OP(""Stage"")"
tensorflow::ops::StageClear,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/stage-clear.html,"./data_flow_ops.cc:REGISTER_OP(""StageClear"")"
tensorflow::ops::StagePeek,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/stage-peek.html,"./data_flow_ops.cc:REGISTER_OP(""StagePeek"")"
tensorflow::ops::StageSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/stage-size.html,"./data_flow_ops.cc:REGISTER_OP(""StageSize"")"
tensorflow::ops::TensorArray,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array.html,"./data_flow_ops.cc:REGISTER_OP(""TensorArray"")"
tensorflow::ops::TensorArrayClose,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-close.html,"./data_flow_ops.cc:REGISTER_OP(""TensorArrayClose"")"
tensorflow::ops::TensorArrayConcat,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-concat.html,"./data_flow_ops.cc:REGISTER_OP(""TensorArrayConcat"")"
tensorflow::ops::TensorArrayGather,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-gather.html,"./data_flow_ops.cc:REGISTER_OP(""TensorArrayGather"")"
tensorflow::ops::TensorArrayGrad,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-grad.html,"./data_flow_ops.cc:REGISTER_OP(""TensorArrayGrad"")"
tensorflow::ops::TensorArrayGradWithShape,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-grad-with-shape.html,"./data_flow_ops.cc:REGISTER_OP(""TensorArrayGradWithShape"")"
tensorflow::ops::TensorArrayRead,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-read.html,"./data_flow_ops.cc:REGISTER_OP(""TensorArrayRead"")"
tensorflow::ops::TensorArrayScatter,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-scatter.html,"./data_flow_ops.cc:REGISTER_OP(""TensorArrayScatter"")"
tensorflow::ops::TensorArraySize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-size.html,"./data_flow_ops.cc:REGISTER_OP(""TensorArraySize"")"
tensorflow::ops::TensorArraySplit,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-split.html,"./data_flow_ops.cc:REGISTER_OP(""TensorArraySplit"")"
tensorflow::ops::TensorArrayWrite,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-write.html,"./data_flow_ops.cc:REGISTER_OP(""TensorArrayWrite"")"
tensorflow::ops::Unstage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/unstage.html,"./data_flow_ops.cc:REGISTER_OP(""Unstage"")"
tensorflow::ops::AdjustContrast,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/adjust-contrast.html,"./image_ops.cc:REGISTER_OP(""AdjustContrast"")"
